Review Text,cleaned,Rating,sentiment
"Very graceful, long skirt. runs true to size and looks great! this is the kind of dress you will wear all summer long.",very graceful long skirt runs true to size and looks great this is the kind of dress you will wear all summer long,5,positive
Wanted to love this one so badly but didn't work for me. just looks really wide on me -- looks amazing on the model though!,wanted to love this one so badly but didnt work for me just looks really wide on me looks amazing on the model though,3,neutral
"Ordered these in two colors( moss and bronze), same size (26). the moss fit perfectly and the bronze, i can't even button. so very frustrating, particularly when shipping fees are involved. i'm keeping the pair that fit but was hoping to have a couple pairs. perhaps i'll try on another pair in the store. its a nice lean slimming pant that will work from fall through spring. the material is a bit thick for summer. soft and a tad stretchy to allow ease of movement. looking forward to wearing with",ordered these in two colors moss and bronze same size the moss fit perfectly and the bronze i cant even button so very frustrating particularly when shipping fees are involved im keeping the pair that fit but was hoping to have a couple pairs perhaps ill try on another pair in the store its a nice lean slimming pant that will work from fall through spring the material is a bit thick for summer soft and a tad stretchy to allow ease of movement looking forward to wearing with,3,neutral
"This skirt is going to be perfect for the hot texas summers. super lightweight and floaty, and the pattern is so gorgeous. will go great with my favorite purple shoes!",this skirt is going to be perfect for the hot texas summers super lightweight and floaty and the pattern is so gorgeous will go great with my favorite purple shoes,5,positive
"This top us flowy, breathable, and feminine. the fabric is light so it doesn't feel like you're wearing a swing dress with heavy fabric. it is sheer so a cami underneath is best. with flowers, less structured tops, i size down to a small or 6. some other tops i'd go to medium or 8.",this top us flowy breathable and feminine the fabric is light so it doesnt feel like youre wearing a swing dress with heavy fabric it is sheer so a cami underneath is best with flowers less structured tops i size down to a small or some other tops id go to medium or,5,positive
"Love the fabric on this. so many retailer tops sit unworn in my closet because they are sheer and i have to wear a layer underneath. this will not be one of those. the fabric is beautifully embroidered and thick enough that it doesn't feel too delicate. the back is a super soft jersey....feel wonderful! will go nicely with jeans & flats for me! as a super bonus, i bought it with my birthday discount and now have in in time for a downton abby party. :) i'll be so pretty!",love the fabric on this so many retailer tops sit unworn in my closet because they are sheer and i have to wear a layer underneath this will not be one of those the fabric is beautifully embroidered and thick enough that it doesnt feel too delicate the back is a super soft jerseyfeel wonderful will go nicely with jeans flats for me as a super bonus i bought it with my birthday discount and now have in in time for a downton abby party ill be so pretty,5,positive
"I love this dress. it is very cute and comfortable and great for football games / everyday wear. it is a little long, which is great for me since i'm taller.",i love this dress it is very cute and comfortable and great for football games everyday wear it is a little long which is great for me since im taller,5,positive
"I bought these pants in the wine color and i love them! i found them to be true to size. i always wear a 27 in pilcro and these were no exception. i am finding the cropped flare silhouette to be so versatile. they are more ankle length than cropped on me as i am 5'3"" but i think i prefer this. these pants can easily be dressed up or down - have worn with a dressy top and heels as well as a denim shirt and ballet flats. super cute!",i bought these pants in the wine color and i love them i found them to be true to size i always wear a in pilcro and these were no exception i am finding the cropped flare silhouette to be so versatile they are more ankle length than cropped on me as i am but i think i prefer this these pants can easily be dressed up or down have worn with a dressy top and heels as well as a denim shirt and ballet flats super cute,5,positive
"This blouse is stunning. i have been wanting it for some time. i finally broke down and purchased it. i am 5' 8"" and about 160lbs. i generally wear size l /size 10. i bought this in a large. i need a medium for sure. i could get away with the large, but it's very flowy. i think the med will be more flattering. i am planning to exchange for a smaller size. i would recommend this blouse for sure. if you want it, buy it. it's often times sold out.",this blouse is stunning i have been wanting it for some time i finally broke down and purchased it i am and about lbs i generally wear size l size i bought this in a large i need a medium for sure i could get away with the large but its very flowy i think the med will be more flattering i am planning to exchange for a smaller size i would recommend this blouse for sure if you want it buy it its often times sold out,5,positive
"This dress is really cute, it's not a complete bag on you. i read that other reviewers complained about the fact that it is see-through. and that is the case, but i own multiple pairs of skin-toned underwear and did not find this to be a problem. the fabric is lightweight, but perfect for the summer. it does wrinkle, but a steamer is your best friend.",this dress is really cute its not a complete bag on you i read that other reviewers complained about the fact that it is seethrough and that is the case but i own multiple pairs of skintoned underwear and did not find this to be a problem the fabric is lightweight but perfect for the summer it does wrinkle but a steamer is your best friend,5,positive
"I fell in love with the shirt when i saw it online; but, i was incredibly disappointed with it when it was delivered.  on the positive side, the macrame is stunning.  once again, there was way too much fabric which makes me look pregnant.  most importantly, the color is not peach!  it's almost a burnt indian red or brick red/orange.  it was a disgusting color.",i fell in love with the shirt when i saw it online but i was incredibly disappointed with it when it was delivered on the positive side the macrame is stunning once again there was way too much fabric which makes me look pregnant most importantly the color is not peach its almost a burnt indian red or brick redorange it was a disgusting color,3,neutral
I love this! the contrast in much prettier in person.,i love this the contrast in much prettier in person,5,positive
Comfy and different. almost like a sweater fabric.,comfy and different almost like a sweater fabric,4,positive
My bra size is a 36 c. i got the medium and the dress buttoned looked nothing like the model... the top button barely buttoned....,my bra size is a c i got the medium and the dress buttoned looked nothing like the model the top button barely buttoned,5,positive
"This shirt is awesome. i absolutely love the style of this shirt! it's super flowy, and is a really breathable fabric. i've been wearing this shirt a lot lately with printed pants. the only downside is the quality of material. it kind of feels like this shirt could have been made myself with a plain t shirt and some basic sewing skills. it also feels like it's going to start falling apart at the arm seams. nonetheless, i adore the shirt, and will be getting a lot of use out of it this season! no",this shirt is awesome i absolutely love the style of this shirt its super flowy and is a really breathable fabric ive been wearing this shirt a lot lately with printed pants the only downside is the quality of material it kind of feels like this shirt could have been made myself with a plain t shirt and some basic sewing skills it also feels like its going to start falling apart at the arm seams nonetheless i adore the shirt and will be getting a lot of use out of it this season no,5,positive
"Interestingly, the description said this was blue, but as it looks on the picture, it is more grey. that being said, about the zippie: love. my stylist (i brought it in for a try on session at my local store), said, ""you know how i feel about sweats, i won't like it""... joke on her, she turned around and was ok, i shouldn't have looked, love the ruffles at the bottom...it makes this ""sweater"" much more special. it is actually really cute for casual day, jeans t-shirt, kids... or over sweats. any",interestingly the description said this was blue but as it looks on the picture it is more grey that being said about the zippie love my stylist i brought it in for a try on session at my local store said you know how i feel about sweats i wont like it joke on her she turned around and was ok i shouldnt have looked love the ruffles at the bottomit makes this sweater much more special it is actually really cute for casual day jeans tshirt kids or over sweats any,5,positive
I ordered this dress online and did not realize it had beaded details on the bodice... gorgeous dress - perfect for festival season.,i ordered this dress online and did not realize it had beaded details on the bodice gorgeous dress perfect for festival season,4,positive
These pants lived up to expectations. the fabric is very soft and did not wrinkle in the dryer. i am normally not a big fan of cropped styles but love that these have the gathered leg and can be styled dressier or casual. i thought the cargo pockets might stick out too much but they lay nicely. i feel i will get a lot of use from these and the best part is they are not constrictive and they are super comfy.,these pants lived up to expectations the fabric is very soft and did not wrinkle in the dryer i am normally not a big fan of cropped styles but love that these have the gathered leg and can be styled dressier or casual i thought the cargo pockets might stick out too much but they lay nicely i feel i will get a lot of use from these and the best part is they are not constrictive and they are super comfy,5,positive
"I purchased this dress in the green, and while the print and material were lovely, the extra folds in the neckline made the dress look frumpy up top. the billowly bottom made it look like a bag. i am 5ft, 36d and 29"" waist and the size 2 fit, which makes me think this runs large! i'll be returning this dress.",i purchased this dress in the green and while the print and material were lovely the extra folds in the neckline made the dress look frumpy up top the billowly bottom made it look like a bag i am ft d and waist and the size fit which makes me think this runs large ill be returning this dress,2,negative
"I had to keep rechecking the price tag on this one to be sure i saw it correctly. price aside though, it's really awesome. fit is flattering, stripes are cute, colors are nice, and you can wear it all summer long. if you can get over the dollar signs, it's a keeper!",i had to keep rechecking the price tag on this one to be sure i saw it correctly price aside though its really awesome fit is flattering stripes are cute colors are nice and you can wear it all summer long if you can get over the dollar signs its a keeper,4,positive
"I like this top. i received a ton of compliments when i wore it to work, but the material doesn't feel as high-quality as i had expected from the pictures online. it wasn't worth it to me to send it back, but i doubt i would have bought it if i had tried it on first.",i like this top i received a ton of compliments when i wore it to work but the material doesnt feel as highquality as i had expected from the pictures online it wasnt worth it to me to send it back but i doubt i would have bought it if i had tried it on first,4,positive
Just received my second pair of pilcro in the red. i loved the color and needed a back up pair. perfect fabric for year round wear. length is great for my height. love every pair i own. this is my 12th pair. love love them.,just received my second pair of pilcro in the red i loved the color and needed a back up pair perfect fabric for year round wear length is great for my height love every pair i own this is my th pair love love them,5,positive
"If you love the print then this is the dress for you. it is so incredibly flattering for hour-glass shapes. and it has pockets! i wanted to keep it but i just did not like the pattern and every guy i showed it to hated the pattern. if they had it in a different color, i would buy it in every color. :)",if you love the print then this is the dress for you it is so incredibly flattering for hourglass shapes and it has pockets i wanted to keep it but i just did not like the pattern and every guy i showed it to hated the pattern if they had it in a different color i would buy it in every color,4,positive
"These pants fit comfortably and are really nice on! they're not too bulky and can be worn in a casual way and/or with a formal look. i just wish black jeans didn't always have that odd rubber smell. other than that, these are great!",these pants fit comfortably and are really nice on theyre not too bulky and can be worn in a casual way andor with a formal look i just wish black jeans didnt always have that odd rubber smell other than that these are great,5,positive
Classic design with nice details. stays in place for those active bikini wearers.,classic design with nice details stays in place for those active bikini wearers,4,positive
"I really love this dress. it's very flattering for all body types - i'm 5'4"", 120 and i purchased a small. it also looks really cute with a stretchy belt. in the picture - it doesn't show this, but it has these cute snap sleeves that adds some great detail. it's also very comfortable. it is a thin material, so for those looking for a thicker fabric - this may not be the right dress. loved it!",i really love this dress its very flattering for all body types im and i purchased a small it also looks really cute with a stretchy belt in the picture it doesnt show this but it has these cute snap sleeves that adds some great detail its also very comfortable it is a thin material so for those looking for a thicker fabric this may not be the right dress loved it,5,positive
The picture doesn't do these justice! they are beautiful and a must-have for summer date nights. i am 5'2 and hover between 115-120. i tried on the regular size in-store and they were way too long. so i ordered the xs petite and they fit perfectly! i like to pair them with a flowy top that hangs over the waist band. (not styled like the pic). they literally feel like you are wearing nothing. you'll receive so many compliments - trust me!,the picture doesnt do these justice they are beautiful and a musthave for summer date nights i am and hover between i tried on the regular size instore and they were way too long so i ordered the xs petite and they fit perfectly i like to pair them with a flowy top that hangs over the waist band not styled like the pic they literally feel like you are wearing nothing youll receive so many compliments trust me,5,positive
"I wear jeans so much, therefore i love to a variety in color. these jeans are so comfortable. they are like wearing sweat pants, but they truly keep their shape so well. i bought the red, which is a year around red, kind of a bright apple red. i will definitely be buying another pair of these ag jeans.",i wear jeans so much therefore i love to a variety in color these jeans are so comfortable they are like wearing sweat pants but they truly keep their shape so well i bought the red which is a year around red kind of a bright apple red i will definitely be buying another pair of these ag jeans,5,positive
"I like this shirt because it can be worn for dressy or casual. i like the weight although i wish it was just a tad less see-through. i can get by without wearing a tank under but i usually feel like i have to wear one. i like the link. i feel like it runs just a little large. i love the length of the sleeves and the detail/cut of the sleeve. i like the colors on the shirt too. it's a good, versatile addition to my wardrobe!",i like this shirt because it can be worn for dressy or casual i like the weight although i wish it was just a tad less seethrough i can get by without wearing a tank under but i usually feel like i have to wear one i like the link i feel like it runs just a little large i love the length of the sleeves and the detailcut of the sleeve i like the colors on the shirt too its a good versatile addition to my wardrobe,4,positive
"I love this dress. be warned that even at 5'4"" it is right on the edge of the shortest length that i can get away with wearing. i probably will not wear it to church but for a special event, dinner, or the theater it will be an eye catching statement piece without being over the top. it has a quiet appeal. both layers of fabric are thin but that helps it to conform to my figure without hugging it. it softly drapes showing an hourglass while being extremely comfortable. i think some reviewers int",i love this dress be warned that even at it is right on the edge of the shortest length that i can get away with wearing i probably will not wear it to church but for a special event dinner or the theater it will be an eye catching statement piece without being over the top it has a quiet appeal both layers of fabric are thin but that helps it to conform to my figure without hugging it it softly drapes showing an hourglass while being extremely comfortable i think some reviewers int,5,positive
"This is such a lovely dress -- and it looks great on! like other customers, i like the petal hem and the top part, which is stretchy, is soft and not clingy.
 
i think the only drawback is that the color isn't as rich a green as it looks in the pic. i've attached a pic for comparison and contrast purposes.

i'll be wearing this way into the fall!",this is such a lovely dress and it looks great on like other customers i like the petal hem and the top part which is stretchy is soft and not clingy i think the only drawback is that the color isnt as rich a green as it looks in the pic ive attached a pic for comparison and contrast purposes ill be wearing this way into the fall,5,positive
"A wonderfully heavy weight piece, opposed to all the swingy chambray of summer, this piece will transition wonderfully into fall. the only disadvantage is a relatively high neck, which looks lovely but can be a little restrictive at times. highly recommend!",a wonderfully heavy weight piece opposed to all the swingy chambray of summer this piece will transition wonderfully into fall the only disadvantage is a relatively high neck which looks lovely but can be a little restrictive at times highly recommend,4,positive
"I'm so glad i splurged on this sweater coat! wow! this is the kind of product i come to retailer from! very unique, good quality, flattering, and surprisingly soft! i wore this over a sleeveless dress for a few hours and not only was i very warm, my arms weren't itchy or irritated at all... on the contrary, it was quite comfortable and soft. this is a bit pricey, but i will definitely get good use of it. i found it to run true to size. i typically wear a 6 and ordered a small. my only quibb",im so glad i splurged on this sweater coat wow this is the kind of product i come to retailer from very unique good quality flattering and surprisingly soft i wore this over a sleeveless dress for a few hours and not only was i very warm my arms werent itchy or irritated at all on the contrary it was quite comfortable and soft this is a bit pricey but i will definitely get good use of it i found it to run true to size i typically wear a and ordered a small my only quibb,5,positive
"These pants are so flattering, comfortable, and silky smooth. a versatile fall staple for sure. i bought my usual 28 and they fit perfectly.",these pants are so flattering comfortable and silky smooth a versatile fall staple for sure i bought my usual and they fit perfectly,5,positive
"I found this dress to run true to size. i'm 5'4"" and 115 lbs and the xs fits great. perfect length and i like the thicker fabric so it's not see through. the raw edges lend a cool laid back and the final embroidery is a perfect bohemian touch. wearing mine with a turquoise choker. awesome dress!",i found this dress to run true to size im and lbs and the xs fits great perfect length and i like the thicker fabric so its not see through the raw edges lend a cool laid back and the final embroidery is a perfect bohemian touch wearing mine with a turquoise choker awesome dress,5,positive
"Perfect. easy , effortlessly beautiful design and just my favorite pajama ever. i'm not my ideal weight right now and these make me feel attractive again.love!",perfect easy effortlessly beautiful design and just my favorite pajama ever im not my ideal weight right now and these make me feel attractive againlove,5,positive
"I love the feel and quality of these pants, however, they ran super big! they would not stay up around my waist, unfortunately.",i love the feel and quality of these pants however they ran super big they would not stay up around my waist unfortunately,3,neutral
"I bought this dress for a holiday party, and the sequins on the dress were so much more blue that what it looks like in the photo. i still liked it, but when i went to try it on, it was just not working. i thought this was more of a loosely fitted look, but the upper bodice and waist seam are very tightly fitted. i would recommend sizing up, but be aware that the top straps (shoulder to breast) are too loose to begin with, so they may sag.

overall, i wouldn't recommend this dress for the curren",i bought this dress for a holiday party and the sequins on the dress were so much more blue that what it looks like in the photo i still liked it but when i went to try it on it was just not working i thought this was more of a loosely fitted look but the upper bodice and waist seam are very tightly fitted i would recommend sizing up but be aware that the top straps shoulder to breast are too loose to begin with so they may sag overall i wouldnt recommend this dress for the curren,2,negative
"This is a beautiful, flattering top that looks great on its own or layered under kimonos or jackets. i bought it in wine and black.",this is a beautiful flattering top that looks great on its own or layered under kimonos or jackets i bought it in wine and black,5,positive
"This dress is really beautiful, but the fullness of the skirt made it a bit too precious for me. i liked that the neckline isn't too low, i could wear a bra with straps with it, the knee-length hem is perfect and the back is beautiful. but the skirt is really princessy. might work for a bridesmaid or an evening occasion but i found it too shiny and girly for less formal events.",this dress is really beautiful but the fullness of the skirt made it a bit too precious for me i liked that the neckline isnt too low i could wear a bra with straps with it the kneelength hem is perfect and the back is beautiful but the skirt is really princessy might work for a bridesmaid or an evening occasion but i found it too shiny and girly for less formal events,4,positive
"Absolutely gorgeous top! i have purchased so many retailer tops and this is the 1st review i have ever written. this top is just that deserving for a review. stunning in so many ways. i am 5' 2"", 118 lbs and purchased a size 4. fits perfectly. maybe runs a tad small. can not wait to wear!",absolutely gorgeous top i have purchased so many retailer tops and this is the st review i have ever written this top is just that deserving for a review stunning in so many ways i am lbs and purchased a size fits perfectly maybe runs a tad small can not wait to wear,5,positive
This top is super versatile--i wear it with jeans on the weekend but it's also work appropriate. it's light and perfect for warm weather!,this top is super versatilei wear it with jeans on the weekend but its also work appropriate its light and perfect for warm weather,5,positive
"I was leary about ordering this but absolutely loved it when it arrived!  i found out the front could be the back and the back could be the front - reversible, right?  and the styling of the shirt was very complimentary to my body.",i was leary about ordering this but absolutely loved it when it arrived i found out the front could be the back and the back could be the front reversible right and the styling of the shirt was very complimentary to my body,5,positive
Sleeves were a bit too long and the size was too big but it's really cute and if they had a smaller size i would definitely have exchanged!,sleeves were a bit too long and the size was too big but its really cute and if they had a smaller size i would definitely have exchanged,4,positive
"I was hesitant to buy this because it is double breasted which isn't my first choice. that was the least of the problems with this jacket. i love sparkle, and i love beautiful detail, none of the elements by themselves was a problem. the sum of the parts didn't work, though. the end result was an unflattering, confusing mess. the silhouette plus the frayed edges, plus the sequins plus the vent in back plus the huge buttons plus the double breast, plus the zipper were just too many things to go t",i was hesitant to buy this because it is double breasted which isnt my first choice that was the least of the problems with this jacket i love sparkle and i love beautiful detail none of the elements by themselves was a problem the sum of the parts didnt work though the end result was an unflattering confusing mess the silhouette plus the frayed edges plus the sequins plus the vent in back plus the huge buttons plus the double breast plus the zipper were just too many things to go t,2,negative
"This is a beautiful and warm sweater, well cut and easy to dress up or down. the biggest problem is the extreme shedding which looks messy against darker clothing, especially against wool or cashmere winter coats.",this is a beautiful and warm sweater well cut and easy to dress up or down the biggest problem is the extreme shedding which looks messy against darker clothing especially against wool or cashmere winter coats,3,neutral
"I really loved the uniqueness of this dress, and i was hoping to be able to wear it to work, but it was just a little too fitted for the office!",i really loved the uniqueness of this dress and i was hoping to be able to wear it to work but it was just a little too fitted for the office,4,positive
"The shirt is nice, but not as nice a material as i was hoping, but i kept it anyway. but after washing it, it is even more disappointing, not very soft and now kind of an odd length. hopefully it will grow on me, but wouldn't recommend it especially for the price.",the shirt is nice but not as nice a material as i was hoping but i kept it anyway but after washing it it is even more disappointing not very soft and now kind of an odd length hopefully it will grow on me but wouldnt recommend it especially for the price,3,neutral
"This item is huge. i'm normally a medium, sized down to a small, still massive. couldn't go too much smaller because the buttons would pull at the chest. but the sleeves are very wide, as is the waist. way too much fabric. i had high hopes for this one but it just doesn't work. for reference i love billowy and flowy tops, but this was a tent.",this item is huge im normally a medium sized down to a small still massive couldnt go too much smaller because the buttons would pull at the chest but the sleeves are very wide as is the waist way too much fabric i had high hopes for this one but it just doesnt work for reference i love billowy and flowy tops but this was a tent,2,negative
"Alas, i so wanted to love this. the photos of the models wearing it look gorgeous -- flowy, drapey, ultimate grecian goddess. but it just doesn't work unless you're super-skinny. too much material. almost bulky; strange looking. the print is so beautiful -- i love the pink floral, and i love the whole idea of the dress. but it just doesn't work. have to send it back. 

(i'm 5'6"", 135 pounds, 38-30-38, and i ordered a 10.)",alas i so wanted to love this the photos of the models wearing it look gorgeous flowy drapey ultimate grecian goddess but it just doesnt work unless youre superskinny too much material almost bulky strange looking the print is so beautiful i love the pink floral and i love the whole idea of the dress but it just doesnt work have to send it back im pounds and i ordered a,2,negative
"Like the other reviewer mentioned, this jacket has a very trim fit, so size up if you want any extra wiggle room or are not a fan of snug clothing. i liked the warm neutral color and the gathered ruched detail up the front. ultimately i did not buy it due to the sleeves being a bit long and the style more body-hugging than what i was looking for. but it is comfortable and a nice twist on a classic.",like the other reviewer mentioned this jacket has a very trim fit so size up if you want any extra wiggle room or are not a fan of snug clothing i liked the warm neutral color and the gathered ruched detail up the front ultimately i did not buy it due to the sleeves being a bit long and the style more bodyhugging than what i was looking for but it is comfortable and a nice twist on a classic,4,positive
"This was just what i wanted. a simple design (so many of retailer's suits have way too much going on) and this one fit the bill. sexy, strappy and clean. i can't wait to live in this top this summer.",this was just what i wanted a simple design so many of retailers suits have way too much going on and this one fit the bill sexy strappy and clean i cant wait to live in this top this summer,5,positive
"Such a lovely shirt and even though it is white, flowing and delicate it is not see-through so you will not have to worry about wearing an undershirt in the summer sun. lovely top!",such a lovely shirt and even though it is white flowing and delicate it is not seethrough so you will not have to worry about wearing an undershirt in the summer sun lovely top,5,positive
"I followed everyone's advice in the reviews and ordered up one size. i have a 32 inch waist, but size 10's (and 30's in pilcro hyphens) usually fit me. i ordered the 12 in this skirt, and it fits perfect. it's form fitting at waist and hips and then flares out, but i'm curvy. if you are straighter, it will be looser around the hips. i love the length. it hits me mid calf, so a bit lower than it does on the model. i'm 5'5"" tall. the fabric is soft, but has no stretch. it's 100% cotton. there is a",i followed everyones advice in the reviews and ordered up one size i have a inch waist but size s and s in pilcro hyphens usually fit me i ordered the in this skirt and it fits perfect its form fitting at waist and hips and then flares out but im curvy if you are straighter it will be looser around the hips i love the length it hits me mid calf so a bit lower than it does on the model im tall the fabric is soft but has no stretch its cotton there is a,5,positive
Very cute but true it's very sheer. good with a simple nude tube underneath to avoid bra straps showing. i got in both colors. great with slim pants or jeans. may need to order up a size if long torso like me. the small was a bit short.,very cute but true its very sheer good with a simple nude tube underneath to avoid bra straps showing i got in both colors great with slim pants or jeans may need to order up a size if long torso like me the small was a bit short,4,positive
"This looks exactly as shown in the photo. you can tell that it's a really thin, lightweight knit that's almost transparent.  i ordered a large and it fits the way it does on the model. am returning because i have a large 34 g bust and this top really emphasized my chest. it also grabs a bit under the arms. the color looks just like it does in the photos. it hangs nicely and isn't oversized, which i liked. the texture and ribbing on the sleeves, hem and pocket take this a step up from the ordinar",this looks exactly as shown in the photo you can tell that its a really thin lightweight knit thats almost transparent i ordered a large and it fits the way it does on the model am returning because i have a large g bust and this top really emphasized my chest it also grabs a bit under the arms the color looks just like it does in the photos it hangs nicely and isnt oversized which i liked the texture and ribbing on the sleeves hem and pocket take this a step up from the ordinar,4,positive
"This is probably the softest, most flattering hoodie that i have ever worn. i can dress it up or down and it has drapes really beautifully. great for spring & summer, love it as a coverall at the beach. my partner rarely compliments my clothes and actually told me how much he liked the way it looked on me. highly recommend.",this is probably the softest most flattering hoodie that i have ever worn i can dress it up or down and it has drapes really beautifully great for spring summer love it as a coverall at the beach my partner rarely compliments my clothes and actually told me how much he liked the way it looked on me highly recommend,5,positive
"I ordered an xs regular and it barely skims the floor when i'm wearing wedges or heels - perfect! it's form fitting but not clingy, and i think it's a pretty, comfortable dress. glad i made the purchase!",i ordered an xs regular and it barely skims the floor when im wearing wedges or heels perfect its form fitting but not clingy and i think its a pretty comfortable dress glad i made the purchase,4,positive
"Ok, received this in the mail yesterday and tried on this morning, i ordered the size 2 snd it is really big. i notice that the armhole sag and there is a lot of extra room everywhere. i am a 32d on the top so that is why i ordered the size 2, but i will return this and order the size 0 and i hope that will take care of the sagging arm area",ok received this in the mail yesterday and tried on this morning i ordered the size snd it is really big i notice that the armhole sag and there is a lot of extra room everywhere i am a d on the top so that is why i ordered the size but i will return this and order the size and i hope that will take care of the sagging arm area,4,positive
"I consider this to be a flattering dress that is a good wardrobe staple since it can be dressed up or down and worn with a variety items (i.e. cropped denim jacket, oversized knit cardi, leather moto.) the twisty knot in the front is very cute and slimming and doesn't add bulk to my squishy squarish waist. this dress is tts to a bit large. the colors and material make this appropriate for autumn through spring. my only upset with this dress is the raw edges which cheapens the quality and makes m",i consider this to be a flattering dress that is a good wardrobe staple since it can be dressed up or down and worn with a variety items ie cropped denim jacket oversized knit cardi leather moto the twisty knot in the front is very cute and slimming and doesnt add bulk to my squishy squarish waist this dress is tts to a bit large the colors and material make this appropriate for autumn through spring my only upset with this dress is the raw edges which cheapens the quality and makes m,4,positive
